"row_id","icd9_code","short_title","long_title"
5518,"4830","Pneu mycplsm pneumoniae","Pneumonia due to mycoplasma pneumoniae"
5519,"4831","Pneumonia d/t chlamydia","Pneumonia due to chlamydia"
5520,"4838","Pneumon oth spec orgnsm","Pneumonia due to other specified organism"
5521,"4841","Pneum w cytomeg incl dis","Pneumonia in cytomegalic inclusion disease"
5522,"4843","Pneumonia in whoop cough","Pneumonia in whooping cough"
5523,"4845","Pneumonia in anthrax","Pneumonia in anthrax"
5524,"4846","Pneum in aspergillosis","Pneumonia in aspergillosis"
5525,"4847","Pneum in oth sys mycoses","Pneumonia in other systemic mycoses"
5526,"4848","Pneum in infect dis NEC","Pneumonia in other infectious diseases classified elsewhere"
5529,"4870","Influenza with pneumonia","Influenza with pneumonia"
5530,"4871","Flu w resp manifest NEC","Influenza with other respiratory manifestations"
5531,"4878","Flu w manifestation NEC","Influenza with other manifestations"
5532,"48801","Flu dt iden avian w pneu","Influenza due to identified avian influenza virus with pneumonia"
5533,"48802","Flu dt avian w oth resp","Influenza due to identified avian influenza virus with other respiratory manifestations"
5534,"48809","Flu dt avian manfest NEC","Influenza due to identified avian influenza virus with other manifestations"
5535,"48811","Flu dt 2009 H1N1 w pneu","Influenza due to identified 2009 H1N1 influenza virus with pneumonia"
5536,"48812","Flu-2009 H1N1 w oth resp","Influenza due to identified 2009 H1N1 influenza virus with other respiratory manifestations"
5537,"48819","Flu-2009 H1N1 w oth man","Influenza due to identified 2009 H1N1 influenza virus with other manifestations"
5538,"48881","Flu dt nvl A vrs w pneu","Influenza due to identified novel influenza A virus with pneumonia"
5539,"48882","Flu dt nvl A w oth resp","Influenza due to identified novel influenza A virus with other respiratory manifestations"
5540,"48889","Flu dt novel A w oth man","Influenza due to identified novel influenza A virus with other manifestations"
5541,"490","Bronchitis NOS","Bronchitis, not specified as acute or chronic"
5546,"49122","Obs chr bronc w ac bronc","Obstructive chronic bronchitis with acute bronchitis"
4994,"56961","Colosty/enterost infectn","Infection of colostomy or enterostomy"
5136,"5070","Food/vomit pneumonitis","Pneumonitis due to inhalation of food or vomitus"
5146,"5110","Pleurisy w/o effus or TB","Pleurisy without mention of effusion or current tuberculosis"
5147,"5111","Bact pleur/effus not TB","Pleurisy with effusion, with mention of a bacterial cause other than tuberculosis"
5197,"5225","Periapical abscess","Periapical abscess without sinus"
5199,"5227","Periapical absc w sinus","Periapical abscess with sinus"
5212,"52330","Aggres periodontitis NOS","Aggressive periodontitis, unspecified"
5213,"52331","Aggres periodontitis,loc","Aggressive periodontitis, localized"
5214,"52332","Aggres periodontitis,gen","Aggressive periodontitis, generalized"
5215,"52333","Acute periodontitis","Acute periodontitis"
5703,"63500","Leg abor w pelv inf-unsp","Legally induced abortion, complicated by genital tract and pelvic infection, unspecified"
5704,"63501","Leg abor w pelv inf-inc","Legally induced abortion, complicated by genital tract and pelvic infection, incomplete"
5705,"63502","Leg abor w pelv inf-comp","Legally induced abortion, complicated by genital tract and pelvic infection, complete"
5822,"57400","Cholelith w ac cholecyst","Calculus of gallbladder with acute cholecystitis, without mention of obstruction"
5823,"57401","Cholelith/ac gb inf-obst","Calculus of gallbladder with acute cholecystitis, with obstruction"
5828,"57430","Choledocholith/ac gb inf","Calculus of bile duct with acute cholecystitis, without mention of obstruction"
5829,"57431","Choledochlith/ac gb-obst","Calculus of bile duct with acute cholecystitis, with obstruction"
5834,"57460","Gall&bil cal w/ac w/o ob","Calculus of gallbladder and bile duct with acute cholecystitis, without mention of obstruction"
5835,"57461","Gall&bil cal w/ac w obs","Calculus of gallbladder and bile duct with acute cholecystitis, with obstruction"
5838,"57480","Gal&bil cal w/ac&chr w/o","Calculus of gallbladder and bile duct with acute and chronic cholecystitis, without mention of obstruction"
5839,"57481","Gal&bil cal w/ac&ch w ob","Calculus of gallbladder and bile duct with acute and chronic cholecystitis, with obstruction"
5845,"57512","Acte & chr cholecystitis","Acute and chronic cholecystitis"
5854,"5761","Cholangitis","Cholangitis"
5982,"5283","Cellulitis/abscess mouth","Cellulitis and abscess of oral soft tissues"
6009,"5304","Perforation of esophagus","Perforation of esophagus"
6016,"53084","Tracheoesophageal fstula","Tracheoesophageal fistula"
6018,"53086","Esophagostomy infection","Infection of esophagostomy"
6024,"53110","Ac stomach ulcer w perf","Acute gastric ulcer with perforation, without mention of obstruction"
6025,"53111","Ac stom ulc w perf-obst","Acute gastric ulcer with perforation, with obstruction"
6026,"53120","Ac stomac ulc w hem/perf","Acute gastric ulcer with hemorrhage and perforation, without mention of obstruction"
6027,"53121","Ac stom ulc hem/perf-obs","Acute gastric ulcer with hemorrhage and perforation, with obstruction"
6028,"53130","Acute stomach ulcer NOS","Acute gastric ulcer without mention of hemorrhage or perforation, without mention of obstruction"
6029,"53131","Ac stomach ulc NOS-obstr","Acute gastric ulcer without mention of hemorrhage or perforation, with obstruction"
6032,"53150","Chr stomach ulcer w perf","Chronic or unspecified gastric ulcer with perforation, without mention of obstruction"
6033,"53151","Chr stom ulc w perf-obst","Chronic or unspecified gastric ulcer with perforation, with obstruction"
6034,"53160","Chr stomach ulc hem/perf","Chronic or unspecified gastric ulcer with hemorrhage and perforation, without mention of obstruction"
6035,"53161","Chr stom ulc hem/perf-ob","Chronic or unspecified gastric ulcer with hemorrhage and perforation, with obstruction"
6036,"53170","Chr stomach ulcer NOS","Chronic gastric ulcer without mention of hemorrhage or perforation, without mention of obstruction"
6037,"53171","Chr stomach ulc NOS-obst","Chronic gastric ulcer without mention of hemorrhage or perforation, with obstruction"
6042,"53210","Ac duodenal ulcer w perf","Acute duodenal ulcer with perforation, without mention of obstruction"
6043,"53211","Ac duoden ulc perf-obstr","Acute duodenal ulcer with perforation, with obstruction"
6044,"53220","Ac duoden ulc w hem/perf","Acute duodenal ulcer with hemorrhage and perforation, without mention of obstruction"
6045,"53221","Ac duod ulc hem/perf-obs","Acute duodenal ulcer with hemorrhage and perforation, with obstruction"
6050,"53250","Chr duoden ulcer w perf","Chronic or unspecified duodenal ulcer with perforation, without mention of obstruction"
6051,"53251","Chr duoden ulc perf-obst","Chronic or unspecified duodenal ulcer with perforation, with obstruction"
6052,"53260","Chr duoden ulc hem/perf","Chronic or unspecified duodenal ulcer with hemorrhage and perforation, without mention of obstruction"
6053,"53261","Chr duod ulc hem/perf-ob","Chronic or unspecified duodenal ulcer with hemorrhage and perforation, with obstruction"
6060,"53310","Ac peptic ulcer w perfor","Acute peptic ulcer of unspecified site with perforation, without mention of obstruction"
6061,"53311","Ac peptic ulc w perf-obs","Acute peptic ulcer of unspecified site with perforation, with obstruction"
6062,"53320","Ac peptic ulc w hem/perf","Acute peptic ulcer of unspecified site with hemorrhage and perforation, without mention of obstruction"
6063,"53321","Ac pept ulc hem/perf-obs","Acute peptic ulcer of unspecified site with hemorrhage and perforation, with obstruction"
6068,"53350","Chr peptic ulcer w perf","Chronic or unspecified peptic ulcer of unspecified site with perforation, without mention of obstruction"
6069,"53351","Chr peptic ulc perf-obst","Chronic or unspecified peptic ulcer of unspecified site with perforation, with obstruction"
6070,"53360","Chr pept ulc w hem/perf","Chronic or unspecified peptic ulcer of unspecified site with hemorrhage and perforation, without mention of obstruction"
6071,"53361","Chr pept ulc hem/perf-ob","Chronic or unspecified peptic ulcer of unspecified site with hemorrhage and perforation, with obstruction"
6078,"53410","Ac marginal ulcer w perf","Acute gastrojejunal ulcer with perforation, without mention of obstruction"
6079,"53411","Ac margin ulc w perf-obs","Acute gastrojejunal ulcer with perforation, with obstruction"
6080,"53420","Ac margin ulc w hem/perf","Acute gastrojejunal ulcer with hemorrhage and perforation, without mention of obstruction"
6081,"53421","Ac marg ulc hem/perf-obs","Acute gastrojejunal ulcer with hemorrhage and perforation, with obstruction"
6086,"53450","Chr marginal ulc w perf","Chronic or unspecified gastrojejunal ulcer with perforation, without mention of obstruction"
6087,"53451","Chr margin ulc perf-obst","Chronic or unspecified gastrojejunal ulcer with perforation, with obstruction"
6088,"53460","Chr margin ulc hem/perf","Chronic or unspecified gastrojejunal ulcer with hemorrhage and perforation, without mention of obstruction"
6089,"53461","Chr marg ulc hem/perf-ob","Chronic or unspecified gastrojejunal ulcer with hemorrhage and perforation, with obstruction"
6115,"53641","Gastrostomy infection","Infection of gastrostomy"
6134,"53901","Inf d/t gastrc band proc","Infection due to gastric band procedure"
6136,"53981","Inf d/t ot bariatrc proc","Infection due to other bariatric procedure"
6532,"63600","Illeg ab w pelv inf-unsp","Illegally induced abortion, complicated by genital tract and pelvic infection, unspecified"
6533,"63601","Illeg ab w pelv inf-inc","Illegally induced abortion, complicated by genital tract and pelvic infection, incomplete"
6534,"63602","Illeg ab w pelv inf-comp","Illegally induced abortion, complicated by genital tract and pelvic infection, complete"
6562,"63700","Abort NOS w pel inf-unsp","Unspecified abortion, complicated by genital tract and pelvic infection, unspecified"
6563,"63701","Abort NOS w pel inf-inc","Unspecified abortion, complicated by genital tract and pelvic infection, incomplete"
6564,"63702","Abort NOS w pel inf-comp","Unspecified abortion, complicated by genital tract and pelvic infection, complete"
6592,"6380","Attem abort w pelvic inf","Failed attempted abortion complicated by genital tract and pelvic infection"
6361,"59681","Infection of cystostomy","Infection of cystostomy"
6419,"6040","Orchitis with abscess","Orchitis, epididymitis, and epididymo-orchitis, with abscess"
7100,"65930","Septicemia in labor-unsp","Generalized infection during labor, unspecified as to episode of care or not applicable"
7101,"65931","Septicem in labor-deliv","Generalized infection during labor, delivered, with or without mention of antepartum condition"
7102,"65933","Septicem in labor-antepa","Generalized infection during labor, antepartum condition or complication"
7521,"6941","Subcorneal pust dermatos","Subcorneal pustular dermatosis"
7523,"6943","Impetigo herpetiformis","Impetigo herpetiformis"
7524,"6944","Pemphigus","Pemphigus"
7289,"6850","Pilonidal cyst w abscess","Pilonidal cyst with abscess"
8396,"71191","Inf arthritis NOS-shlder","Unspecified infective arthritis, shoulder region"
8397,"71192","Inf arthritis NOS-up/arm","Unspecified infective arthritis, upper arm"
8398,"71193","Inf arthrit NOS-forearm","Unspecified infective arthritis, forearm"
8399,"71194","Inf arthrit NOS-hand","Unspecified infective arthritis, hand"
8400,"71195","Inf arthrit NOS-pelvis","Unspecified infective arthritis, pelvic region and thigh"
8401,"71196","Inf arthrit NOS-l/leg","Unspecified infective arthritis, lower leg"
8402,"71197","Inf arthrit NOS-ankle","Unspecified infective arthritis, ankle and foot"
8403,"71198","Inf arthrit NOS-oth site","Unspecified infective arthritis, other specified sites"
8404,"71199","Inf arthritis NOS-mult","Unspecified infective arthritis, multiple sites"
13059,"V090","Inf mcrg rstn pncllins","Infection with microorganisms resistant to penicillins"
13060,"V091","Inf mcrg rstn b-lactam","Infection with microorganisms resistant to cephalosporins and other B-lactam antibiotics"
13061,"V092","Inf mcrg rstn macrolides","Infection with microorganisms resistant to macrolides"
13062,"V093","Inf mcrg rstn ttrcycln","Infection with microorganisms resistant to tetracyclines"
13063,"V094","Inf mcrg rstn amnglcsds","Infection with microorganisms resistant to aminoglycosides"
13064,"V0950","Inf mcr rst qn flr nt ml","Infection with microorganisms without mention of resistance to multiple quinolones and fluroquinolones"
13065,"V0951","Inf mcrg rstn qn flrq ml","Infection with microorganisms with resistance to multiple quinolones and fluroquinolones"
13066,"V096","Inf mcrg rstn sulfnmides","Infection with microorganisms resistant to sulfonamides"
13067,"V0970","Inf mcr rst oth ag nt ml","Infection with microorganisms without mention of resistance to multiple antimycobacterial agents"
13068,"V0971","Inf mcrg rstn oth ag mlt","Infection with microorganisms with resistance to multiple antimycobacterial agents"
13069,"V0980","Inf mcr rst ot drg nt ml","Infection with microorganisms without mention of resistance to multiple drugs"
13070,"V0981","Inf mcrg rstn oth drg ml","Infection with microorganisms with resistance to multiple drugs"
13071,"V0990","Infc mcrg drgrst nt mult","Infection with drug-resistant microorganisms, unspecified, without mention of multiple drug resistance"
13072,"V0991","Infc mcrg drgrst mult","Infection with drug-resistant microorganisms, unspecified, with multiple drug resistance"
13094,"9101","Abrasion head-infected","Abrasion or friction burn of face, neck, and scalp except eye, infected"
13096,"9103","Blister head-infected","Blister of face, neck, and scalp except eye, infected"
11403,"99591","Sepsis","Sepsis"
12368,"99732","Postproc aspiration pneu","Postprocedural aspiration pneumonia"
12384,"99802","Postop shock, septic","Postoperative shock, septic"
9971,"7310","Osteitis deformans NOS","Osteitis deformans without mention of bone tumor"
10024,"7908","Viremia NOS","Viremia, unspecified"
10622,"67510","Breast abscess preg-unsp","Abscess of breast associated with childbirth, unspecified as to episode of care or not applicable"
10623,"67511","Breast abscess-delivered","Abscess of breast associated with childbirth, delivered, with or without mention of antepartum condition"
10624,"67512","Breast abscess-del w p/p","Abscess of breast associated with childbirth, delivered, with mention of postpartum complication"
10625,"67513","Breast abscess-antepart","Abscess of breast associated with childbirth, antepartum condition or complication"
10626,"67514","Breast abscess-postpart","Abscess of breast associated with childbirth, postpartum condition or complication"
10627,"67520","Mastitis in preg-unspec","Nonpurulent mastitis associated with childbirth, unspecified as to episode of care or not applicable"
10628,"67521","Mastitis-delivered","Nonpurulent mastitis associated with childbirth, delivered, with or without mention of antepartum condition"
10629,"67522","Mastitis-deliv w p/p","Nonpurulent mastitis associated with childbirth, delivered, with mention of postpartum complication"
13558,"67000","Maj puerp inf NOS-unsp","Major puerperal infection, unspecified as to episode of care or not applicable"
13559,"67002","Maj puer inf NOS-del p/p","Major puerperal infection, delivered, with mention of postpartum complication"
13560,"67004","Major puerp inf NOS-p/p","Major puerperal infection, postpartum condition or complication"
13564,"67020","Puerperal sepsis-unsp","Puerperal sepsis, unspecified as to episode of care or not applicable"
13565,"67022","Puerprl sepsis-del w p/p","Puerperal sepsis, delivered, with mention of postpartum complication"
13566,"67024","Puerperl sepsis-postpart","Puerperal sepsis, postpartum condition or complication"
13567,"67030","Puerp septc thromb-unsp","Puerperal septic thrombophlebitis, unspecified as to episode of care or not applicable"
13568,"67032","Prp sptc thrmb-del w p/p","Puerperal septic thrombophlebitis, delivered, with mention of postpartum complication"
13569,"67034","Prp septc thrmb-postpart","Puerperal septic thrombophlebitis, postpartum condition or complication"
13570,"67080","Maj prp infec NEC-unspec","Other major puerperal infection, unspecified as to episode of care or not applicable"
13580,"7280","Infective myositis","Infective myositis"
9515,"9583","Posttraum wnd infec NEC","Posttraumatic wound infection not elsewhere classified"
